站名,代号,拼音,简写,序号
北京北,VAP,beijingbei,bjb,0
北京东,BOP,beijingdong,bjd,1
北京,BJP,beijing,bj,2
北京南,VNP,beijingnan,bjn,3
北京西,BXP,beijingxi,bjx,4
广州南,IZQ,guangzhounan,gzn,5
重庆北,CUW,chongqingbei,cqb,6
重庆,CQW,chongqing,cq,7
重庆南,CRW,chongqingnan,cqn,8
重庆西,CXW,chongqingxi,cqx,9
广州东,GGQ,guangzhoudong,gzd,10
上海,SHH,shanghai,sh,11
上海南,SNH,shanghainan,shn,12
上海虹桥,AOH,shanghaihongqiao,shhq,13
上海西,SXH,shanghaixi,shx,14
天津北,TBP,tianjinbei,tjb,15
天津,TJP,tianjin,tj,16
天津南,TIP,tianjinnan,tjn,17
天津西,TXP,tianjinxi,tjx,18
香港西九龙,XJA,hkwestkowloon,xgxjl,19
长春,CCT,changchun,cc,20
长春南,CET,changchunnan,ccn,21
长春西,CRT,changchunxi,ccx,22
成都东,ICW,chengdudong,cdd,23
成都南,CNW,chengdunan,cdn,24
成都,CDW,chengdu,cd,25
长沙,CSQ,changsha,cs,26
长沙南,CWQ,changshanan,csn,27
大明湖,JAK,daminghu,dmh,28
福州,FZS,fuzhou,fz,29
福州南,FYS,fuzhounan,fzn,30
贵阳,GIW,guiyang,gy,31
广州,GZQ,guangzhou,gz,32
广州西,GXQ,guangzhouxi,gzx,33
哈尔滨,HBB,haerbin,heb,34
哈尔滨东,VBB,haerbindong,hebd,35
哈尔滨西,VAB,haerbinxi,hebx,36
合肥,HFH,hefei,hf,37
合肥西,HTH,hefeixi,hfx,38
呼和浩特东,NDC,huhehaotedong,hhhtd,39
呼和浩特,HHC,huhehaote,hhht,40
海  口东,KEQ,haikoudong,hkd,41
海口东,HMQ,haikoudong,hkd,42
海口,VUQ,haikou,hk,43
杭州东,HGH,hangzhoudong,hzd,44
杭州,HZH,hangzhou,hz,45
杭州南,XHH,hangzhounan,hzn,46
济南,JNK,jinan,jn,47
济南西,JGK,jinanxi,jnx,48
昆明,KMM,kunming,km,49
昆明西,KXM,kunmingxi,kmx,50
拉萨,LSO,lasa,ls,51
兰州东,LVJ,lanzhoudong,lzd,52
兰州,LZJ,lanzhou,lz,53
兰州西,LAJ,lanzhouxi,lzx,54
南昌,NCG,nanchang,nc,55
南京,NJH,nanjing,nj,56
南京南,NKH,nanjingnan,njn,57
南宁,NNZ,nanning,nn,58
石家庄北,VVP,shijiazhuangbei,sjzb,59
石家庄,SJP,shijiazhuang,sjz,60
沈阳,SYT,shenyang,sy,61
沈阳北,SBT,shenyangbei,syb,62
沈阳东,SDT,shenyangdong,syd,63
沈阳南,SOT,shenyangnan,syn,64
太原北,TBV,taiyuanbei,tyb,65
太原东,TDV,taiyuandong,tyd,66
太原,TYV,taiyuan,ty,67
武汉,WHN,wuhan,wh,68
王家营西,KNM,wangjiayingxi,wjyx,69
乌鲁木齐,WAR,wulumuqi,wlmq,70
西安北,EAY,xianbei,xab,71
西安,XAY,xian,xa,72
西安南,CAY,xiannan,xan,73
西宁,XNO,xining,xn,74
银川,YIJ,yinchuan,yc,75
郑州,ZZF,zhengzhou,zz,76
阿尔山,ART,aershan,aes,77
安康,AKY,ankang,ak,78
阿克苏,ASR,akesu,aks,79
阿里河,AHX,alihe,alh,80
阿拉山口,AKR,alashankou,alsk,81
安平,APT,anping,ap,82
安庆,AQH,anqing,aq,83
安顺,ASW,anshun,as,84
鞍山,AST,anshan,as,85
安阳,AYF,anyang,ay,86
北安,BAB,beian,ba,87
蚌埠,BBH,bengbu,bb,88
白城,BCT,baicheng,bc,89
北海,BHZ,beihai,bh,90
白河,BEL,baihe,bh,91
白涧,BAP,baijian,bj,92
宝鸡,BJY,baoji,bj,93
滨江,BJB,binjiang,bj,94
博克图,BKX,boketu,bkt,95
百色,BIZ,baise,bs,96
白山市,HJL,baishanshi,bss,97
北台,BTT,beitai,bt,98
包头东,BDC,baotoudong,btd,99
包头,BTC,baotou,bt,100
北屯市,BXR,beitunshi,bts,101
本溪,BXT,benxi,bx,102
白云鄂博,BEC,baiyunebo,byeb,103
白银西,BXJ,baiyinxi,byx,104
亳州,BZH,bozhou,bz,105
赤壁,CBN,chibi,cb,106
常德,VGQ,changde,cd,107
承德,CDP,chengde,cd,108
长甸,CDT,changdian,cd,109
赤峰,CFD,chifeng,cf,110
茶陵,CDG,chaling,cl,111
苍南,CEH,cangnan,cn,112
昌平,CPP,changping,cp,113
崇仁,CRG,chongren,cr,114
昌图,CTT,changtu,ct,115
长汀镇,CDB,changtingzhen,ctz,116
曹县,CXK,caoxian,cx,117
楚雄南,COM,chuxiongnan,cxn,118
陈相屯,CXT,chenxiangtun,cxt,119
长治北,CBF,changzhibei,czb,120
池州,IYH,chizhou,cz,121
长征,CZJ,changzheng,cz,122
常州,CZH,changzhou,cz,123
郴州,CZQ,chenzhou,cz,124
长治,CZF,changzhi,cz,125
沧州,COP,cangzhou,cz,126
崇左,CZZ,chongzuo,cz,127
大安北,RNT,daanbei,dab,128
大成,DCT,dacheng,dc,129
丹东,DUT,dandong,dd,130
东方红,DFB,dongfanghong,dfh,131
东莞东,DMQ,dongguandong,dgd,132
大虎山,DHD,dahushan,dhs,133
敦化,DHL,dunhua,dh,134
敦煌,DHJ,dunhuang,dh,135
德惠,DHT,dehui,dh,136
东京城,DJB,dongjingcheng,djc,137
大涧,DFP,dajian,dj,138
都江堰,DDW,dujiangyan,djy,139
大连北,DFT,dalianbei,dlb,140
大理,DKM,dali,dl,141
大连,DLT,dalian,dl,142
定南,DNG,dingnan,dn,143
大庆,DZX,daqing,dq,144
东胜,DOC,dongsheng,ds,145
大石桥,DQT,dashiqiao,dsq,146
大同,DTV,datong,dt,147
东营,DPK,dongying,dy,148
大杨树,DUX,dayangshu,dys,149
都匀,RYW,duyun,dy,150
邓州,DOF,dengzhou,dz,151
达州,RXW,dazhou,dz,152
德州,DZP,dezhou,dz,153
额济纳,EJC,ejina,ejn,154
二连,RLC,erlian,el,155
恩施,ESN,enshi,es,156
福鼎,FES,fuding,fd,157
凤凰机场,FJQ,fenghuangjichang,fhjc,158
风陵渡,FLV,fenglingdu,fld,159
涪陵,FLW,fuling,fl,160
富拉尔基,FRX,fulaerji,flej,161
抚顺北,FET,fushunbei,fsb,162
佛山,FSQ,foshan,fs,163
阜新南,FXD,fuxinnan,fxn,164
阜阳,FYH,fuyang,fy,165
格尔木,GRO,geermu,gem,166
广汉,GHW,guanghan,gh,167
古交,GJV,gujiao,gj,168
桂林北,GBZ,guilinbei,glb,169
古莲,GRX,gulian,gl,170
桂林,GLZ,guilin,gl,171
固始,GXN,gushi,gs,172
广水,GSN,guangshui,gs,173
干塘,GNJ,gantang,gt,174
广元,GYW,guangyuan,gy,175
广州北,GBQ,guangzhoubei,gzb,176
赣州,GZG,ganzhou,gz,177
公主岭,GLT,gongzhuling,gzl,178
公主岭南,GBT,gongzhulingnan,gzln,179
淮安,AUH,huaian,ha,180
淮北,HRH,huaibei,hb,181
鹤北,HMB,hebei,hb,182
淮滨,HVN,huaibin,hb,183
河边,HBV,hebian,hb,184
潢川,KCN,huangchuan,hc,185
韩城,HCY,hancheng,hc,186
邯郸,HDP,handan,hd,187
横道河子,HDB,hengdaohezi,hdhz,188
鹤岗,HGB,hegang,hg,189
皇姑屯,HTT,huanggutun,hgt,190
红果,HEM,hongguo,hg,191
黑河,HJB,heihe,hh,192
怀化,HHQ,huaihua,hh,193
汉口,HKN,hankou,hk,194
葫芦岛,HLD,huludao,hld,195
海拉尔,HRX,hailaer,hle,196
霍林郭勒,HWD,huolinguole,hlgl,197
海伦,HLB,hailun,hl,198
侯马,HMV,houma,hm,199
哈密,HMR,hami,hm,200
淮南,HAH,huainan,hn,201
桦南,HNB,huanan,hn,202
海宁西,EUH,hainingxi,hnx,203
鹤庆,HQM,heqing,hq,204
怀柔北,HBP,huairoubei,hrb,205
怀柔,HRP,huairou,hr,206
黄石东,OSN,huangshidong,hsd,207
华山,HSY,huashan,hs,208
黄山,HKH,huangshan,hs,209
黄石,HSN,huangshi,hs,210
衡水,HSP,hengshui,hs,211
衡阳,HYQ,hengyang,hy,212
菏泽,HIK,heze,hz,213
贺州,HXZ,hezhou,hz,214
汉中,HOY,hanzhong,hz,215
