车次,起始站,终点站,出发站,到达站,出发时间,到达时间,历史,商务特等座,一等座,二等座,高级软卧,软卧,动卧,硬卧,软座,硬座,无座,是否有票
Z150,贵阳,北京西,怀化,长沙,00:39,06:37,05:58,,,,,14,,有,,有,有,Y
G6461,怀化南,长沙南,怀化南,长沙南,07:18,10:10,02:52,,无,1,,,无,,,,,Y
G6158,怀化南,珠海,怀化南,长沙南,07:40,09:14,01:34,,2,无,,,无,,,,无,Y
K578,成都东,长沙,怀化,长沙,08:20,16:35,08:15,,,,,无,,20,,有,有,Y
G1332,贵阳北,杭州东,怀化南,长沙南,08:41,10:15,01:34,,无,无,,,无,,,,,N
G6148,怀化南,深圳北,怀化南,长沙南,08:52,10:26,01:34,,2,16,,,有,,,,,Y
G1370,怀化南,上海虹桥,怀化南,长沙南,09:17,10:58,01:41,,,无,,,无,,,,,N
G6469,怀化南,长沙南,怀化南,长沙南,09:20,12:01,02:41,,无,无,,,无,,,,,N
G2364,贵阳北,宁波,怀化南,长沙南,09:26,11:07,01:41,,无,无,,,无,,,,,N
G1484,贵阳北,南京南,怀化南,长沙南,09:46,11:21,01:35,,无,无,,,无,,,,,N
G6453,怀化南,长沙南,怀化南,长沙南,09:53,12:33,02:40,,无,无,,,1,,,,,Y
G2116,贵阳北,长沙南,怀化南,长沙南,09:58,11:26,01:28,,无,无,,,无,,,,,N
G82,贵阳北,北京西,怀化南,长沙南,24:00,24:00,99:59,,,,,,,,,,,列车停运
G6162,怀化南,深圳北,怀化南,长沙南,10:18,11:54,01:36,,无,无,,,无,,,,,N
Z162,昆明,北京西,怀化,长沙,10:18,16:28,06:10,,,,,14,,有,,无,有,Y
G2304,贵阳北,温州南,怀化南,长沙南,10:31,12:12,01:41,,无,无,,,无,,,,,N
G2334,贵阳北,宁海,怀化南,长沙南,10:45,12:26,01:41,,无,无,,,无,,,,,N
G1322,贵阳北,上海虹桥,怀化南,长沙南,11:02,12:44,01:42,,无,无,,,无,,,,,N
G2308,贵阳北,温州南,怀化南,长沙南,11:13,12:49,01:36,,无,无,,,无,,,,,N
G6472,怀化南,长沙南,怀化南,长沙南,11:19,12:53,01:34,,,1,,,无,,,,,Y
G1686,贵阳北,厦门北,怀化南,长沙南,11:28,13:10,01:42,,无,无,,,无,,,,,N
G404,昆明南,北京西,怀化南,长沙南,11:37,12:58,01:21,,无,无,,,无,,,,,N
G9619,怀化南,长沙南,怀化南,长沙南,11:45,14:59,03:14,,5,1,,,无,,,,,Y
G286,昆明南,济南西,怀化南,长沙南,11:46,13:27,01:41,,1,2,,,有,,,,,Y
G1380,昆明南,南京南,怀化南,长沙南,11:56,13:43,01:47,,无,12,,,有,,,,,Y
K808,怀化,无锡,怀化,长沙,12:00,21:24,09:24,,,,,无,,无,,无,有,Y
G1378,昆明南,南京南,怀化南,长沙南,12:04,13:38,01:34,,2,16,,,有,,,,,Y
G2370,成都东,厦门北,怀化南,长沙南,12:26,14:07,01:41,,无,无,,,无,,,,,N
G2336,贵阳北,南京南,怀化南,长沙南,12:31,14:12,01:41,,无,无,,,无,,,,,N
G1372,昆明南,上海虹桥,怀化南,长沙南,12:43,14:24,01:41,,10,有,,,有,,,,,Y
G9608,怀化南,长沙南,怀化南,长沙南,12:49,14:30,01:41,,无,3,,,6,,,,,Y
G402,贵阳北,北京西,怀化南,长沙南,24:00,24:00,99:59,,,,,,,,,,,列车停运
G1682,昆明南,厦门,怀化南,长沙南,13:02,14:48,01:46,,无,有,,,有,,,,,Y
G1538,昆明南,郑州东,怀化南,长沙南,13:14,14:43,01:29,,4,无,,,无,,,,,Y
G9627,怀化南,长沙南,怀化南,长沙南,13:18,16:10,02:52,,有,有,,,无,,,,,Y
G1758,成都东,福州南,怀化南,长沙南,13:19,14:54,01:35,,无,无,,,无,,,,,N
K9066,铜仁,深圳西,怀化,长沙,13:22,22:39,09:17,,,,,,,无,,无,有,Y
G6166,怀化南,深圳坪山,怀化南,长沙南,13:24,15:10,01:46,,无,4,,,有,,,,,Y
G1334,重庆西,上海虹桥,怀化南,长沙南,13:29,15:05,01:36,,无,无,,,无,,,,,N
G1392,昆明南,杭州东,怀化南,长沙南,13:39,15:21,01:42,,,无,,,2,,,,,Y
